0.5f, 0.40844727f, 0.39424133f, 0.3859024f, 0.37992096f, 0.37467957f, 0.37058973f, 0.36694717f, 0.3635292f, 0.3606987f, 
-0.06725666f, -0.06729603f, -0.06733698f, -0.0673776f, -0.06742208f, -0.067463085f, -0.06750304f, -0.067545645f, -0.067589104f, -0.06762795f, 
-0.06767148f, -0.06771293f, -0.06775533f, -0.0677979f, -0.06784028f, -0.06788223f, -0.067922026f, -0.067965135f, -0.06800592f, -0.06804666f, 
-0.068090126f, -0.06813105f, -0.06817144f, -0.068213224f, -0.06825535f, -0.068296224f, -0.06833559f, -0.06837577f, -0.06841686f, -0.06845753f, 
-0.06849852f, -0.06853981f, -0.068580866f, -0.06862125f, -0.068662524f, -0.068705976f, -0.06874466f, -0.068786636f, -0.06882864f, -0.068869665f, 
-0.06891033f, -0.06894809f, -0.06899199f, -0.06903577f, -0.06907749f, -0.06911886f, -0.06916261f, -0.06920496f, -0.06924644f, -0.0692898f, 
-0.06933081f, -0.06937191f, -0.069412455f, -0.06945431f, -0.069494896f, -0.06953791f, -0.069579266f, -0.06962027f, -0.06966446f, -0.06970453f, 
-0.06974639f, -0.06978917f, -0.06982911f, -0.0698694f, -0.06991169f, -0.06995481f, -0.069996715f, -0.070038825f, -0.07008052f, -0.07012111f, 
-0.07016577f, -0.070208f, -0.07024908f, -0.07029028f, -0.07032931f, -0.0703705f, -0.07041392f, -0.07045436f, -0.07049417f, -0.07053538f, 
-0.070577964f, -0.07061723f, -0.07065955f, -0.07070428f, -0.07074976f, -0.07078853f, -0.07082911f, -0.07087125f, -0.07091236f, -0.07095468f, 
-0.07099612f, -0.071036234f, -0.071078494f, -0.071120024f, -0.071160644f, -0.07120091f, -0.07124281f, -0.07128592f, -0.071329474f, -0.07137084f, 
-0.07141268f, -0.07145344f, -0.07149592f, -0.07153833f, -0.07157913f, -0.07161912f, -0.07166016f, -0.07170204f, -0.07174629f, -0.07178819f, 
-0.07182932f, -0.07187216f, -0.07191414f, -0.07195558f, -0.07199693f, -0.07203776f, -0.07208067f, -0.07212114f, -0.07216391f, -0.07220566f, 
-0.07224789f, -0.07228863f, -0.07233191f, -0.07237452f, -0.07241662f, -0.07245821f, -0.07249868f, -0.07254064f, -0.07258415f, -0.07262771f, 
-0.07267007f, -0.07270956f, -0.07275325f, -0.072796166f, -0.07283953f, -0.0728807f, -0.072919816f, -0.07295941f, -0.07299909f, -0.073042035f, 
-0.073084265f, -0.07312584f, -0.073170334f, -0.07321221f, -0.073253155f, -0.07329595f, -0.073339045f, -0.07338178f, -0.07342529f, -0.07346826f, 
-0.07350895f, -0.073551945f, -0.073592864f, -0.07363658f, -0.07368056f, -0.07372308f, -0.07376385f, -0.07380584f, -0.07384837f, -0.07388997f, 
-0.073931456f, -0.07397431f, -0.07401767f, -0.07406032f, -0.074103f, -0.074147075f, -0.07419133f, -0.07423335f, -0.07427578f, -0.0743179f, 
-0.07436067f, -0.0744037f, -0.07444731f, -0.074489474f, -0.074533224f, -0.07457566f, -0.07461685f, -0.07465993f, -0.07469973f, -0.07474494f, 
-0.07478753f, -0.074828774f, -0.074872196f, -0.0749163f, -0.07495713f, -0.074999064f, -0.075043514f, -0.07508612f, -0.07512647f, -0.07516962f, 
-0.07521343f, -0.075255975f, -0.075299054f, -0.07534063f, -0.075380415f, -0.07542223f, -0.07546389f, -0.075505376f, -0.07554495f, -0.075586975f, 
-0.07563024f, -0.07567157f, -0.075714946f, -0.075755656f, -0.07579751f, -0.07584062f, -0.07588236f, -0.07592565f, -0.07597005f, -0.076013684f, 
-0.07605618f, -0.07609595f, -0.07613814f, -0.076178044f, -0.076221086f, -0.07626256f, -0.07630572f, -0.07634801f, -0.07639429f, -0.076435804f, 
-0.07647778f, -0.0765211f, -0.076560974f, -0.07660285f, -0.07664691f, -0.07668769f, -0.07673085f, -0.076774f, -0.07681659f, -0.07685873f, 
-0.07689977f, -0.07694187f, -0.07698667f, -0.07703041f, -0.07707411f, -0.07711542f, -0.07715854f, -0.07720065f, -0.077243716f, -0.07728547f, 
-0.077327415f, -0.07737092f, -0.077412695f, -0.077454194f, -0.07749587f, -0.07753867f, -0.077581234f, -0.07762313f, -0.07766634f, -0.077706575f, 
-0.07774973f, -0.0777936f, -0.077836394f, -0.07788044f, -0.077920735f, -0.07796341f, -0.07800746f, -0.078051224f, -0.078094006f, -0.07813758f, 
-0.07818097f, -0.078222424f, -0.07826406f, -0.078307986f, -0.07834941f, -0.07839131f, -0.078436315f, -0.07847619f, -0.07851893f, -0.0785619f, 
-0.07860419f, -0.078645244f, -0.078686684f, -0.07872927f, -0.07876924f, -0.078813136f, -0.078855634f, -0.07889676f, -0.078940034f, -0.07898176f, 
-0.07902345f, -0.07906769f, -0.07910925f, -0.07915223f, -0.07919425f, -0.07923789f, -0.0792789f, -0.07932307f, -0.07936752f, -0.07941139f, 
-0.07945488f, -0.079499304f, -0.07954174f, -0.07958435f, -0.079625964f, -0.07966828f, -0.07970929f, -0.07975221f, -0.07979439f, -0.07983366f, 
-0.07987739f, -0.0799217f, -0.07996261f, -0.08000636f, -0.080049455f, -0.0800921f, -0.08013351f, -0.08017647f, -0.08021948f, -0.08026141f, 
-0.08030169f, -0.08034593f, -0.08038795f, -0.08042821f, -0.08047336f, -0.08051777f, -0.08055885f, -0.08060035f, -0.08064315f, -0.08068532f, 
-0.08072877f, -0.08077287f, -0.080815226f, -0.08085847f, -0.08090401f, -0.08094877f, -0.08098963f, -0.08103241f, -0.08107349f, -0.0811155f, 
-0.081157714f, -0.081199646f, -0.0812431f, -0.08128673f, -0.08133024f, -0.0813719f, -0.081415206f, -0.081457436f, -0.08150077f, -0.08154476f, 
-0.08158749f, -0.08163011f, -0.08167428f, -0.08171904f, -0.081762224f, -0.08180569f, -0.08184898f, -0.08189225f, -0.08193433f, -0.08197874f, 
-0.08202419f, -0.08206497f, -0.082108065f, -0.08214968f, -0.08219461f, -0.0822379f, -0.08228278f, -0.08232719f, -0.08237162f, -0.082416296f, 
-0.08245838f, -0.08250272f, -0.0825479f, -0.08259016f, -0.08263695f, -0.08268219f, -0.08272586f, -0.082769275f, -0.08281618f, -0.08285767f, 
-0.08290088f, -0.08294201f, -0.08298427f, -0.08302654f, -0.08307055f, -0.08311468f, -0.083158255f, -0.083203375f, -0.083244085f, -0.083286196f, 
-0.08332953f, -0.083373636f, -0.08341578f, -0.08345842f, -0.08349967f, -0.08354216f, -0.08358461f, -0.08362898f, -0.08367124f, -0.08371639f, 
-0.08376163f, -0.083805665f, -0.08384824f, -0.08389178f, -0.08393443f, -0.0839774f, -0.08401927f, -0.08406308f, -0.084105015f, -0.084145695f, 
-0.08419034f, -0.08423501f, -0.08427867f, -0.08432114f, -0.08436316f, -0.08440579f, -0.084447935f, -0.08449006f, -0.08453387f, -0.084576145f, 
-0.08462036f, -0.08466075f, -0.084704876f, -0.08474693f, -0.08478841f, -0.08483164f, -0.08487332f, -0.08491606f, -0.08495717f, -0.08499986f, 
-0.08504158f, -0.08508442f, -0.085128814f, -0.08517152f, -0.08521403f, -0.085258245f, -0.08530134f, -0.08534449f, -0.08538917f, -0.08543211f, 
-0.08547801f, -0.08552188f, -0.08556867f, -0.08561236f, -0.085658394f, -0.08570409f, -0.08574819f, -0.085792035f, -0.08583343f, -0.08587766f, 
-0.08591986f, -0.08596438f, -0.08600693f, -0.08605076f, -0.08609368f, -0.08613539f, -0.08617863f, -0.08622143f, -0.08626512f, -0.08630927f, 
-0.08635223f, -0.08639687f, -0.08643806f, -0.086483f, -0.08652703f, -0.086571634f, -0.08661696f, -0.08666086f, -0.08670348f, -0.086746216f, 
-0.08679041f, -0.0868358f, -0.0868777f, -0.08692145f, -0.08696565f, -0.08700864f, -0.08705419f, -0.08709681f, -0.08714002f, -0.08718413f, 
-0.08722824f, -0.08727175f, -0.08731406f, -0.08735742f, -0.08739978f, -0.087444365f, -0.087488055f, -0.087531924f, -0.08757675f, -0.087619245f, 
-0.087664805f, -0.08770752f, -0.08775118f, -0.08779386f, -0.08783742f, -0.08788097f, -0.0879233f, -0.087969005f, -0.08801194f, -0.08805764f, 
-0.088101685f, -0.08814314f, -0.088188976f, -0.088234454f, -0.08827746f, -0.08832145f, -0.08836703f, -0.088412166f, -0.08845514f, -0.088499926f, 
-0.088541985f, -0.08858341f, -0.08862937f, -0.088673115f, -0.08871603f, -0.08875728f, -0.08880061f, -0.08884406f, -0.08888802f, -0.08893223f, 
-0.0889743f, -0.08901652f, -0.08906007f, -0.089104176f, -0.089148134f, -0.0891912f, -0.089233875f, -0.08927634f, -0.08932039f, -0.08936219f, 
-0.08940384f, -0.08944857f, -0.08949542f, -0.08953765f, -0.08958024f, -0.08962548f, -0.08967227f, -0.08971432f, -0.08975828f, -0.08980149f, 
-0.089843825f, -0.08988774f, -0.08993071f, -0.089975595f, -0.09001851f, -0.09006086f, -0.09010428f, -0.09014812f, -0.09019509f, -0.09024134f, 
-0.09028363f, -0.09032904f, -0.09037412f, -0.09041709f, -0.09046209f, -0.09050754f, -0.090550944f, -0.09059614f, -0.09063935f, -0.09068494f, 
-0.090727955f, -0.0907706f, -0.0908149f, -0.090860695f, -0.09090409f, -0.090949f, -0.09099519f, -0.09103948f, -0.09108317f, -0.091126844f, 
-0.09117021f, -0.09121376f, -0.09125886f, -0.091301076f, -0.09134495f, -0.091388896f, -0.09143287f, -0.09147793f, -0.09152219f, -0.09156662f, 
-0.091611475f, -0.09165478f, -0.09169865f, -0.091742754f, -0.091789484f, -0.091834396f, -0.09187919f, -0.091923f, -0.09196706f, -0.09201081f, 
-0.09205648f, -0.092101336f, -0.092143625f, -0.09218766f, -0.09223375f, -0.09227669f, -0.09232026f, -0.092365235f, -0.0924086f, -0.092451975f, 
-0.0924952f, -0.09253788f, -0.092582166f, -0.09262502f, -0.09267163f, -0.09271884f, -0.09276226f, -0.09280723f, -0.092853084f, -0.092898846f, 
-0.09294124f, -0.09298478f, -0.09302974f, -0.093075454f, -0.09311795f, -0.09316036f, -0.093205094f, -0.09324667f, -0.093291104f, -0.093333885f, 
-0.09337605f, -0.09341954f, -0.09346321f, -0.09350711f, -0.09355208f, -0.09359503f, -0.09363847f, -0.09368408f, -0.0937264f, -0.09376952f, 
-0.09381431f, -0.09385732f, -0.09390411f, -0.09394469f, -0.09399103f, -0.09403588f, -0.094080746f, -0.09412575f, -0.094170466f, -0.09421402f, 
-0.094257f, -0.094300866f, -0.09434633f, -0.09439355f, -0.09443629f, -0.094483316f, -0.09452799f, -0.09457302f, -0.094620585f, -0.09466329f, 
-0.09470527f, -0.09475078f, -0.09479347f, -0.094836704f, -0.09487985f, -0.09492576f, -0.09496971f, -0.09501526f, -0.09505892f, -0.095104456f, 
-0.09514916f, -0.09519464f, -0.095238775f, -0.09528524f, -0.095329046f, -0.09537339f, -0.09541756f, -0.09546073f, -0.09550756f, -0.095550925f, 
-0.09559643f, -0.09564176f, -0.095686674f, -0.09572974f, -0.09577489f, -0.095820755f, -0.09586573f, -0.095909834f, -0.095954895f, -0.095998004f, 
-0.09603989f, -0.096084595f, -0.09613159f, -0.09617862f, -0.096221864f, -0.09626973f, -0.09631261f, -0.09635979f, -0.09640324f, -0.09644897f, 
-0.09649478f, -0.09653972f, -0.09658311f, -0.09662778f, -0.096674174f, -0.09671952f, -0.09676731f, -0.09681356f, -0.09685767f, -0.096904024f, 
-0.096949995f, -0.09699571f, -0.09704131f, -0.09708691f, -0.097132206f, -0.09717941f, -0.09722152f, -0.097265616f, -0.097308874f, -0.09735365f, 
-0.09740028f, -0.0974441f, -0.097488225f, -0.09753251f, -0.09757742f, -0.09762381f, -0.0976728f, -0.09771755f, -0.09776236f, -0.09780818f, 
-0.09785068f, -0.09789431f, -0.09794025f, -0.09798376f, -0.09802884f, -0.09807557f, -0.098120436f, -0.098164394f, -0.09820849f, -0.098255575f, 
-0.09829992f, -0.09834346f, -0.09839004f, -0.09843367f, -0.098480046f, -0.09852466f, -0.09857023f, -0.09861402f, -0.09866105f, -0.09870595f, 
-0.098750114f, -0.09879452f, -0.098844945f, -0.09889011f, -0.09893581f, -0.09897806f, -0.099022135f, -0.09906781f, -0.09911327f, -0.09915733f, 
-0.09920311f, -0.09924948f, -0.09929539f, -0.099343106f, -0.09938806f, -0.09943259f, -0.09947873f, -0.09952545f, -0.099568605f, -0.09961337f, 
-0.09965825f, -0.09970713f, -0.099755436f, -0.09980154f, -0.09984803f, -0.09989476f, -0.09993985f, -0.099986315f, -0.10002941f, -0.10007268f, 
-0.10011843f, -0.10016495f, -0.10021031f, -0.10025361f, -0.100296855f, -0.10034144f, -0.100384474f, -0.10042989f, -0.1004765f, -0.10052431f, 
-0.10057092f, -0.100616336f, -0.100664556f, -0.10071443f, -0.10075824f, -0.100802064f, -0.10084458f, -0.1008911f, -0.10093407f, -0.100980476f, 
-0.101025045f, -0.10106912f, -0.10111499f, -0.101160884f, -0.10120875f, -0.101252854f, -0.101296246f, -0.10134435f, -0.10139072f, -0.10143602f, 
-0.101481795f, -0.10152565f, -0.10157336f, -0.10161793f, -0.10166463f, -0.10171157f, -0.10175584f, -0.10180211f, -0.10184744f, -0.10189155f, 
-0.10193637f, -0.10198155f, -0.1020273f, -0.10207403f, -0.102121264f, -0.10216512f, -0.10221152f, -0.10225536f, -0.10230124f, -0.10234785f, 
-0.1023954f, -0.102437615f, -0.102483034f, -0.10252875f, -0.1025728f, -0.10261786f, -0.10266213f, -0.10270584f, -0.10275018f, -0.10279448f, 
-0.102838874f, -0.102883935f, -0.10293162f, -0.10297641f, -0.103021085f, -0.103067905f, -0.10311526f, -0.103161156f, -0.10320854f, -0.10325265f, 
-0.1032992f, -0.10334687f, -0.103393584f, -0.10344051f, -0.10348457f, -0.10352962f, -0.10357529f, -0.10361989f, -0.10366422f, -0.103707835f, 
-0.10375321f, -0.10379791f, -0.10384494f, -0.10389069f, -0.10393688f, -0.10398385f, -0.10402739f, -0.10407436f, -0.104120195f, -0.10416806f, 
-0.104216665f, -0.10426296f, -0.1043092f, -0.10435152f, -0.1043967f, -0.10444176f, -0.10448873f, -0.10453534f, -0.104581f, -0.104626656f, 
-0.10467243f, -0.104717255f, -0.10476264f, -0.10480471f, -0.1048495f, -0.104894765f, -0.10493934f, -0.104985684f, -0.10502973f, -0.105075985f, 
-0.10511934f, -0.10516667f, -0.10521209f, -0.10525724f, -0.10530168f, -0.10534716f, -0.10539174f, -0.10543785f, -0.10548295f, -0.10552955f, 
-0.105575934f, -0.10562229f, -0.10566841f, -0.10571325f, -0.105761304f, -0.105807304f, -0.105852365f, -0.10589942f, -0.105945885f, -0.10599002f, 
-0.10603684f, -0.106086254f, -0.10613401f, -0.10617888f, -0.106227875f, -0.106271505f, -0.10631874f, -0.10636453f, -0.10641238f, -0.10645902f, 
-0.10650453f, -0.106550336f, -0.10659695f, -0.10664141f, -0.106685996f, -0.10673438f, -0.106779665f, -0.1068241f, -0.10687274f, -0.106919885f, 
-0.106971145f, -0.10701288f, -0.107057154f, -0.10710178f, -0.107150905f, -0.10719659f, -0.10724449f, -0.10729103f, -0.1073364f, -0.10738309f, 
-0.10742915f, -0.107474566f, -0.10751743f, -0.10756254f, -0.10760866f, -0.10765576f, -0.10770285f, -0.10775058f, -0.107797235f, -0.10784382f, 
-0.107891485f, -0.107937455f, -0.10798368f, -0.108031645f, -0.108076155f, -0.10812354f, -0.108169466f, -0.108216345f, -0.1082609f, -0.10830605f, 
-0.10835233f, -0.10839915f, -0.10844501f, -0.10849011f, -0.108536184f, -0.10858409f, -0.10863078f, -0.1086774f, -0.10872266f, -0.10876876f, 
-0.108818054f, -0.10886392f, -0.1089108f, -0.108956814f, -0.1090045f, -0.10905266f, -0.109098464f, -0.10914481f, -0.109190345f, -0.10923761f, 
-0.109283805f, -0.109331176f, -0.1093781f, -0.10942364f, -0.109470546f, -0.109518275f, -0.10956219f, -0.10960853f, -0.10965659f, -0.109702185f, 
-0.109748274f, -0.10979296f, -0.10983947f, -0.10988745f, -0.10993892f, -0.10998523f, -0.110033125f, -0.11007756f, -0.11012119f, -0.11016804f, 
-0.110215634f, -0.1102626f, -0.110307574f, -0.11035308f, -0.11040208f, -0.110449255f, -0.11049397f, -0.11054235f, -0.11058864f, -0.11063504f, 
-0.1106835f, -0.11073136f, -0.11077863f, -0.11082411f, -0.11087096f, -0.110915214f, -0.11096251f, -0.11100751f, -0.111056685f, -0.11110462f, 
-0.11115244f, -0.111198425f, -0.111243725f, -0.11129414f, -0.11134097f, -0.111388884f, -0.11143571f, -0.111481756f, -0.11152816f, -0.1115742f, 
-0.11162174f, -0.111670785f, -0.11171985f, -0.11176737f, -0.11181378f, -0.11186172f, -0.11190987f, -0.11195725f, -0.11200507f, -0.11205198f, 
-0.11210025f, -0.11214954f, -0.112194f, -0.11223906f, -0.11228585f, -0.11233181f, -0.11237655f, -0.112423494f, -0.11246833f, -0.112516105f, 
-0.112562716f, -0.112610936f, -0.11265707f, -0.11270416f, -0.11275053f, -0.11279741f, -0.11284411f, -0.11289108f, -0.11293936f, -0.112984866f, 
-0.11303218f, -0.11308126f, -0.11312941f, -0.11317854f, -0.11322747f, -0.11327183f, -0.11332026f, -0.11336985f, -0.11341605f, -0.113462806f, 
-0.11350704f, -0.11355351f, -0.11360016f, -0.11364822f, -0.11369395f, -0.11374183f, -0.11378986f, -0.11383557f, -0.11388302f, -0.113928854f, 
-0.11397612f, -0.11402452f, -0.11407179f, -0.11411768f, -0.11416553f, -0.11421293f, -0.11426023f, -0.11431117f, -0.11435871f, -0.114405744f, 
-0.11445212f, -0.114500165f, -0.114546224f, -0.114593714f, -0.11464281f, -0.11469209f, -0.11473891f, -0.11478835f, -0.11483538f, -0.11488062f, 
-0.114931285f, -0.114978135f, -0.115025535f, -0.11507234f, -0.11511806f, -0.11516595f, -0.11521444f, -0.115260124f, -0.115306735f, -0.11535227f, 
-0.11540082f, -0.115450025f, -0.11549604f, -0.11554289f, -0.11558986f, -0.11563872f, -0.11568415f, -0.11573127f, -0.11578131f, -0.115828544f, 
-0.11587867f, -0.115924835f, -0.115973115f, -0.11602196f, -0.11607087f, -0.1161198f, -0.11616522f, -0.11621377f, -0.11625981f, -0.116307616f, 
-0.1163553f, -0.11640298f, -0.11645225f, -0.116501145f, -0.11654804f, -0.11659606f, -0.11664355f, -0.11668974f, -0.11673473f, -0.11678183f, 
-0.11682886f, -0.11687577f, -0.116925f, -0.116972834f, -0.11701858f, -0.117064305f, -0.1171142f, -0.117162585f, -0.117207766f, -0.11725463f, 
-0.117301464f, -0.11734867f, -0.11739546f, -0.1174435f, -0.117490776f, -0.1175372f, -0.11758494f, -0.117637634f, -0.11768389f, -0.11773354f, 
-0.11778259f, -0.1178322f, -0.11787772f, -0.11792642f, -0.11797351f, -0.1180225f, -0.11807239f, -0.11812092f, -0.11816907f, -0.11821702f, 
-0.118263006f, -0.118311256f, -0.11836088f, -0.11840972f, -0.11845875f, -0.118505955f, -0.11855513f, -0.1186043f, -0.11865303f, -0.1186986f, 
-0.1187467f, -0.11879659f, -0.11884427f, -0.11889148f, -0.11893908f, -0.118988216f, -0.11903739f, -0.11908531f, -0.11913447f, -0.11918509f, 
-0.11923498f, -0.11928132f, -0.11933033f, -0.11937782f, -0.11942744f, -0.119476914f, -0.11952579f, -0.11957741f, -0.119624496f, -0.11967564f, 
-0.11972609f, -0.11977434f, -0.11982125f, -0.11986783f, -0.11991885f, -0.119966716f, -0.120015204f, -0.120064884f, -0.12011421f, -0.12016487f, 
-0.120214224f, -0.12026267f, -0.120310426f, -0.12035877f, -0.12040809f, -0.12045872f, -0.120505564f, -0.12055373f, -0.12060249f, -0.12064999f, 
-0.12069821f, -0.12074599f, -0.12079656f, -0.12084377f, -0.12089157f, -0.12093979f, -0.12099028f, -0.12104087f, -0.12108958f, -0.121138096f, 
-0.12118521f, -0.121235445f, -0.12128544f, -0.12133308f, -0.12138027f, -0.12142706f, -0.12147707f, -0.12152398f, -0.121572375f, -0.12162173f, 
-0.12166953f, -0.12171778f, -0.12176615f, -0.12181559f, -0.121865705f, -0.12191576f, -0.12196696f, -0.12201667f, -0.12206456f, -0.122113645f, 
-0.122163415f, -0.122211814f, -0.1222592f, -0.12230736f, -0.122355044f, -0.12240505f, -0.12245333f, -0.122502565f, -0.122550935f, -0.12259948f, 
-0.12264782f, -0.12269732f, -0.12274884f, -0.12279759f, -0.12284617f, -0.12289654f, -0.122945234f, -0.122994125f, -0.123044185f, -0.12309909f, 
-0.123147964f, -0.12319827f, -0.123245955f, -0.12329383f, -0.12334138f, -0.123390645f, -0.12344062f, -0.12348874f, -0.12353742f, -0.12358475f, 
-0.12363273f, -0.123681486f, -0.12373197f, -0.123781845f, -0.12383139f, -0.12387952f, -0.123928815f, -0.123975754f, -0.12402597f, -0.12407631f, 
-0.12412393f, -0.12416953f, -0.12421806f, -0.12426981f, -0.12432003f, -0.12436971f, -0.12441659f, -0.12446535f, -0.12451452f, -0.12456477f, 
-0.124611855f, -0.124660015f, -0.12471038f, -0.12475872f, -0.12481046f, -0.12486026f, -0.124907866f, -0.12495951f, -0.12500536f, -0.1250529f, 
-0.12510541f, -0.1251517f, -0.12520114f, -0.12524746f, -0.12529752f, -0.12534761f, -0.12539764f, -0.12544882f, -0.12549737f, -0.12554544f, 
-0.12559396f, -0.12564409f, -0.12569416f, -0.12574732f, -0.12579578f, -0.12584527f, -0.12589347f, -0.12594461f, -0.12599266f, -0.12604207f, 
-0.12609161f, -0.12614086f, -0.12618902f, -0.12624007f, -0.12628816f, -0.12633519f, -0.12638444f, -0.12643245f, -0.12648404f, -0.12653518f, 
-0.12658462f, -0.12663305f, -0.12668288f, -0.12673259f, -0.12677905f, -0.12682676f, -0.12687767f, -0.12692738f, -0.12697661f, -0.12702692f, 
-0.12707469f, -0.12712502f, -0.12717581f, -0.12722537f, -0.12727469f, -0.12732866f, -0.127383f, -0.12743261f, -0.1274848f, -0.12753412f, 
-0.12758407f, -0.12763304f, -0.12768304f, -0.12773412f, -0.12778616f, -0.12783605f, -0.12788582f, -0.1279363f, -0.12798741f, -0.12803796f, 
-0.1280897f, -0.12813953f, -0.12819088f, -0.12824143f, -0.12829146f, -0.12834597f, -0.12839425f, -0.12844509f, -0.12849593f, -0.1285469f, 
-0.12859797f, -0.12864771f, -0.1286993f, -0.12875083f, -0.12880409f, -0.12885475f, -0.12890267f, -0.12895417f, -0.12900734f, -0.12905729f, 
-0.12910658f, -0.12915713f, -0.12920834f, -0.12926209f, -0.1293115f, -0.12936053f, -0.12941396f, -0.12946576f, -0.12951583f, -0.12956649f, 
-0.12961745f, -0.12966838f, -0.12972012f, -0.12976806f, -0.1298193f, -0.12986773f, -0.12991846f, -0.12997025f, -0.13001938f, -0.13007104f, 
-0.13011983f, -0.13017166f, -0.1302247f, -0.13027996f, -0.13033104f, -0.13038051f, -0.13042694f, -0.13047707f, -0.13052619f, -0.13057415f, 
-0.13062489f, -0.1306746f, -0.13072777f, -0.13077909f, -0.13082993f, -0.1308808f, -0.13093412f, -0.13098215f, -0.1310345f, -0.1310851f, 
-0.13113537f, -0.13118908f, -0.1312406f, -0.13129044f, -0.13134372f, -0.13139448f, -0.13144732f, -0.13149679f, -0.13154864f, -0.1316033f, 
-0.13165605f, -0.13170934f, -0.13176206f, -0.13181442f, -0.13186586f, -0.13191521f, -0.13196158f, -0.13201237f, -0.13206562f, -0.13211721f, 
-0.13216892f, -0.13222039f, -0.13226902f, -0.13232213f, -0.13237506f, -0.13242455f, -0.13247621f, -0.13252723f, -0.13257766f, -0.13262907f, 
-0.13267986f, -0.1327298f, -0.13277957f, -0.1328268f, -0.13287926f, -0.13292855f, -0.13297951f, -0.1330322f, -0.13308442f, -0.13313666f, 
-0.13318801f, -0.1332393f, -0.13328987f, -0.13334182f, -0.1333926f, -0.13344258f, -0.13349497f, -0.13354734f, -0.13359872f, -0.13365072f, 
-0.13369814f, -0.1337483f, -0.1338011f, -0.13384986f, -0.13389945f, -0.13394958f, -0.13400102f, -0.13405353f, -0.13410538f, -0.1341579f, 
-0.1342113f, -0.13426459f, -0.13431954f, -0.13436794f, -0.13442245f, -0.13447636f, -0.13453072f, -0.13458353f, -0.13463414f, -0.13468677f, 
-0.13473913f, -0.13479161f, -0.13484198f, -0.1348921f, -0.13494861f, -0.13500223f, -0.13505483f, -0.13510951f, -0.13516062f, -0.13521177f, 
-0.13526613f, -0.13531753f, -0.13536891f, -0.13542116f, -0.13547152f, -0.13552237f, -0.13557369f, -0.13562387f, -0.13568187f, -0.13573411f, 
-0.13578789f, -0.13584176f, -0.1358949f, -0.13594782f, -0.13600183f, -0.13605386f, -0.13610476f, -0.13615918f, -0.13621402f, -0.1362656f, 
-0.13631856f, -0.13637084f, -0.13642251f, -0.13647723f, -0.13652903f, -0.13658252f, -0.13663387f, -0.13668609f, -0.13673958f, -0.13679385f, 
-0.13684666f, -0.13689837f, -0.13695101f, -0.13700522f, -0.13705611f, -0.13710839f, -0.13716184f, -0.13721481f, -0.13726735f, -0.1373204f, 
-0.13737632f, -0.13742985f, -0.13748133f, -0.13753425f, -0.1375888f, -0.13764197f, -0.13769561f, -0.13774803f, -0.13779972f, -0.13785422f, 
-0.13790768f, -0.13796246f, -0.13801223f, -0.13806558f, -0.13811845f, -0.1381737f, -0.13822763f, -0.13828093f, -0.13833535f, -0.13838607f, 
-0.13843778f, -0.13849437f, -0.13854897f, -0.13860178f, -0.13865542f, -0.13871062f, -0.13876535f, -0.13881737f, -0.13887012f, -0.13892019f, 
-0.13897213f, -0.13902569f, -0.13908044f, -0.13913625f, -0.13918796f, -0.13924181f, -0.1392954f, -0.13934565f, -0.13939685f, -0.13945055f, 
-0.13950717f, -0.13955876f, -0.1396104f, -0.13966453f, -0.1397155f, -0.13976693f, -0.13982448f, -0.139877f, -0.13993375f, -0.13998711f, 
-0.1400411f, -0.14009768f, -0.140153f, -0.14020965f, -0.14026451f, -0.14031681f, -0.14037114f, -0.14042309f, -0.14047587f, -0.14052899f, 
-0.14058095f, -0.14063492f, -0.14068809f, -0.14074004f, -0.14079642f, -0.14085239f, -0.14090848f, -0.14096016f, -0.14101374f, -0.14106745f, 
-0.1411203f, -0.14117575f, -0.14123131f, -0.14128631f, -0.14133751f, -0.14139321f, -0.14144921f, -0.14150274f, -0.14155796f, -0.1416156f, 
-0.14166862f, -0.14172214f, -0.14177436f, -0.14182907f, -0.14188242f, -0.14193684f, -0.14198792f, -0.14204335f, -0.14209639f, -0.14214998f, 
-0.14220384f, -0.14225674f, -0.14230883f, -0.14236434f, -0.1424191f, -0.14247456f, -0.14252877f, -0.14258075f, -0.14263415f, -0.1426858f, 
-0.1427426f, -0.14279896f, -0.14285067f, -0.14290786f, -0.14296046f, -0.14301634f, -0.14306816f, -0.14312221f, -0.14317366f, -0.14323029f, 
-0.1432856f, -0.14333963f, -0.14339381f, -0.14344817f, -0.14350344f, -0.14355835f, -0.14361316f, -0.14366603f, -0.1437236f, -0.14377923f, 
-0.14383256f, -0.14388952f, -0.14394659f, -0.14400384f, -0.14405853f, -0.1441144f, -0.14417237f, -0.14422774f, -0.1442846f, -0.14434063f, 
-0.1443972f, -0.14445674f, -0.14451402f, -0.14456749f, -0.14462562f, -0.14468399f, -0.14473855f, -0.14479434f, -0.14485088f, -0.14490677f, 
-0.14495793f, -0.14501363f, -0.14507228f, -0.14513087f, -0.14518404f, -0.1452384f, -0.14529487f, -0.14534998f, -0.14540887f, -0.1454625f, 
-0.1455167f, -0.14557362f, -0.14562744f, -0.14568424f, -0.14573836f, -0.14579666f, -0.14585108f, -0.1459083f, -0.1459617f, -0.14601731f, 
